102.528	4333.09
105.558	4131.33
108.585	3841.43
111.611	3673.52
114.636	3449.15
117.66	3292.78
120.681	3176.99
123.702	3064.01
126.721	2924.41
129.737	2759.7
132.753	2557.42
135.768	2389.94
138.781	2173.18
141.792	1973
144.802	1814.9
147.811	1688.23
150.818	1548.4
153.824	1427.69
156.828	1362.04
159.831	1291.15
162.832	1251.23
165.832	1214.3
168.83	1215.94
171.827	1170.95
174.822	1115.41
177.816	1073.34
180.809	1018.84
183.8	960.499
186.79	899.038
189.778	859.678
192.764	861.609
195.75	812.359
198.734	802.197
201.716	774.782
204.697	751.174
207.676	725.899
210.654	725.563
213.631	724.059
216.606	693.399
219.579	690.068
222.552	691.843
225.523	683.709
228.492	658.45
231.46	640.413
234.427	637.739
237.391	627.016
240.355	653.876
243.317	633.051
246.278	653.982
249.237	637.368
252.195	664.667
255.151	678.425
258.107	719.566
261.06	750.545
264.012	800.748
266.963	888.178
269.913	976.634
272.86	1095.91
275.806	1232.33
278.752	1344.71
281.695	1322.86
284.637	1215.48
287.579	998.416
290.518	818.086
293.456	725.032
296.392	689.16
299.327	665.553
302.261	649.535
305.193	614.311
308.124	564.486
311.053	502.723
313.981	471.479
316.908	429.298
319.833	418.591
322.756	409.423
325.679	402.579
328.6	385.143
331.52	371.099
334.438	363.843
337.355	355.892
340.269	344.387
343.184	355.286
346.096	351.698
349.007	340.3
351.917	338.517
354.826	332.237
357.732	335.818
360.637	328.032
363.541	321.708
366.445	316.088
369.346	304.39
372.245	312.673
375.144	309.99
378.041	307.916
380.937	308.027
383.831	301.859
386.724	302.56
389.615	298.745
392.506	291.429
395.395	295.174
398.281	285.589
401.167	301.698
404.052	322.317
406.936	318.786
409.817	319.32
412.698	313.858
415.576	286.908
418.455	290.733
421.33	272.391
424.206	282.445
427.079	274.425
429.951	272.452
432.822	275.456
435.691	266.439
438.559	275.16
441.426	276.817
444.291	267.676
447.155	274.807
450.017	281.731
452.878	276.25
455.738	264.543
458.597	279.409
461.454	279.929
464.31	275.334
467.163	269.171
470.016	254.353
472.868	266.862
475.718	265.497
478.567	256.716
481.415	264.362
484.26	282.745
487.105	290.975
489.949	278.512
492.79	266.007
495.631	275.903
498.471	260.518
501.308	251.704
504.145	245.318
506.98	249.475
509.813	247.496
512.646	243.297
515.477	246.385
518.307	244.453
521.135	232.974
523.963	248.392
526.789	239.389
529.612	237.415
532.435	235.768
535.258	226.002
538.077	225.027
540.897	228.333
543.714	232.781
546.531	237.768
549.345	232.158
552.158	233.022
554.971	230.985
557.782	252.65
560.591	249.767
563.399	266.954
566.206	282.769
569.012	321.882
571.816	353.591
574.619	368.92
577.42	349.957
580.221	301.245
583.02	257.361
585.817	235.367
588.613	229.54
591.408	219.949
594.201	211.78
596.994	211.695
599.784	207.24
602.574	209.167
605.362	216.936
608.149	215.452
610.935	219.858
613.719	228.142
616.502	232.132
619.283	263.776
622.063	314.745
624.842	520.859
627.62	971.473
630.396	1398.28
633.171	1593.6
635.944	1285.71
638.717	630.732
641.488	326.906
644.257	259.715
647.026	248.623
649.792	253.344
652.559	244.51
655.323	246.708
658.086	246.155
660.848	236.272
663.608	228.204
666.367	219.579
669.125	212.519
671.881	213.953
674.637	213.962
677.391	222.186
680.143	222.316
682.895	227.003
685.645	222.574
688.393	212.904
691.141	224.459
693.887	264.027
696.631	410.126
699.375	607.177
702.117	763.392
704.858	787.846
707.598	565.138
710.336	348.617
713.073	267.326
715.808	223.647
718.542	197.405
721.276	193.919
724.007	193.22
726.738	198.111
729.467	192.527
732.195	203.081
734.921	205.316
737.647	197.313
740.371	193.972
743.094	188.434
745.816	179.736
748.535	179.141
751.254	173.803
753.971	186.355
756.688	186.296
759.403	179.567
762.117	182.259
764.829	196.295
767.54	207.469
770.25	228.445
772.959	228.24
775.666	240.428
778.372	264.118
781.077	271.438
783.78	300.452
786.483	348.366
789.183	429.613
791.883	539.902
794.582	637.5
797.278	629.714
799.974	527.469
802.669	402.57
805.363	373.174
808.055	386.45
810.745	402.828
813.434	410.745
816.122	430.959
818.81	458.408
821.495	462.103
824.179	466.899
826.863	473.706
829.544	467.18
832.225	475.504
834.904	477.863
837.582	494.783
840.259	543.288
842.935	636.883
845.609	773.152
848.282	1025.19
850.954	1418.69
853.624	1963.75
856.293	2534.51
858.962	2801.67
861.629	2568.03
864.294	1909.88
866.958	1217.49
869.621	819.867
872.283	639.667
874.943	546.97
877.602	507.946
880.26	487.277
882.917	448.85
885.573	436.543
888.227	401.945
890.879	374.663
893.531	338.733
896.182	326.444
898.831	319.156
901.479	304.169
904.126	288.484
906.771	271.435
909.415	243.96
912.058	222.466
914.7	219.743
917.341	200.46
919.98	199.284
922.618	189.604
925.255	190.67
927.89	189.023
930.524	185.374
933.157	184.474
935.789	184.307
938.419	182.153
941.049	182.051
943.677	184.671
946.304	186.613
948.93	196.039
951.554	195.932
954.178	198.867
956.8	207.567
959.421	220.657
962.04	231.645
964.659	244.303
967.275	258.339
969.891	286.114
972.506	321.2
975.119	341.721
977.731	380.855
980.342	422.473
982.952	478.895
985.56	553.242
988.168	690.698
990.774	887.457
993.378	1086.36
995.982	1261.06
998.584	1346.07
1001.19	1279.64
1003.79	1136.07
1006.38	947.484
1008.98	777.531
1011.58	638.293
1014.17	517.756
1016.77	433.994
1019.36	381.255
1021.95	347.748
1024.54	317.701
1027.13	290.078
1029.72	267.365
1032.3	272.321
1034.89	260.19
1037.47	244.372
1040.06	234.128
1042.64	230.923
1045.22	228.339
1047.8	218.49
1050.38	211.46
1052.95	216.646
